title,genre,final
"Hensuki: Are you willing to Fall in Love with a Pervert, as long as she's a Cutie?","['hài hước', 'ecchi', 'học đường', 'harem', 'romance']",hensuki: are you willing to fall in love with a pervert as long as she's a cutie?
Charlotte,"['drama', 'học đường', 'super power']",charlotte
Hybrid x Heart Magias Academy Ataraxia BD ,"['ecchi', 'harem', 'blu-ray']",hybrid x heart magias academy ataraxia
One Piece Movie 8 ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece
DanMachi 2nd Season ,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']",danmachi
Baki the Grappler,"['hành động', 'shounen', 'martial arts']",baki the grappler
Tenchi Muyo! War on Geminar [Blu-ray],"['hành động', 'hài hước', 'ecchi', 'mecha', 'học đường', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",tenchi muyo war on geminar
One Piece: Episode of East Blue - Luffy and His Four Friends' Great Adventure,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece episode of east blue-luffy and his four friends' great adventure
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['hành động', 'phép thuật', 'fantasy', 'siêu nhiên']",fate grand order zettai majuu sensen babylonia
Enen no Shouboutai ,"['hành động', 'shounen', 'viễn tưởng']",enen no shouboutai
Ansatsu Kyoushitsu (TV) 2nd Season,"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên']",ansatsu kyoushitsu2nd season
One Piece Movie 6 ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece
One Piece Movie 3 ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece
AntiMagic Academy 35th Test Platoon ,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'siêu nhiên', 'military']",antimagic academy 35th test platoon
The Familiar Of Zero ,"['ecchi', 'phiêu lưu', 'phép thuật', 'romance', 'fantasy']",the familiar of zero
Cấm thư ma thuật Index ,"['hành động', 'phép thuật', 'viễn tưởng', 'super power']",cấm thư ma thuật index
One Piece: Episode of Sorajima,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece episode of sorajima
To LOVE-Ru Darkness BD ,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']",to love-ru darkness
Masou Gakuen Hybrid x Heart Specials,"['ecchi', 'harem', 'blu-ray']",masou gakuen hybrid x heart specials
Học Viện Anh Hùng Phần 1,"['hành động', 'học đường', 'super power']",học viện anh hùng
Seraph of the End: Vampire Reign ,"['drama', 'shounen', 'siêu nhiên', 'vampire']",seraph of the end vampire reign
And you thought there is never a girl online? ,"['hài hước', 'ecchi', 'học đường', 'romance', 'game']",and you thought there is never a girl online
Inuyasha,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'romance', 'lịch sử', 'fantasy', 'siêu nhiên', 'demons']",inuyasha
Grand Blue,"['hài hước', 'đời thường', 'seinen']",grand blue
One Piece Special ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
High School Dxd Specials ,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd specials
Kamen Rider Drive,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']",kamen rider drive
Twin Star Exorcists,"['hành động', 'shounen', 'romance', 'fantasy', 'siêu nhiên']",twin star exorcists
Shokugeki no Soma: Ni no Sara,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no soma ni no sara
Tổng Hợp Conan Movie 01 - 22,"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']",tổng hợp conan
JoJo no Kimyou na Bouken: Ougon no Kaze,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']",jojo no kimyou na bouken ougon no kaze
One Piece TV Special: Episode Of Skypiea,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece tv special episode of skypiea
Hagure Yuusha No Estetica bản Bluray,['đang cập nhật'],hagure yuusha no estetica bản
Dị Thế Ma Vương Blu-ray,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",dị thế ma vương
Ore No Imouto Ga Konnani Kawaii Wake Ga Nai SS2 bản Bluray,"['hài hước', 'đời thường']",ore no imouto ga konnani kawaii wake ga nai bản
Ngạ Quỷ Vùng Tokyo: Re ,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']",ngạ quỷ vùng tokyo re
Sword Art Online the Movie: Ordinal Scale,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art onlineordinal scale
Dragon Ball Z Kai ,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragon ball z kai
Toradora BD ,"['hành động', 'drama', 'viễn tưởng', 'seinen', 'space']",toradora
Sword Art Offline,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art offline
The Asterisk War: The Academy City on the Water,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'viễn tưởng', 'fantasy', 'siêu nhiên']",the asterisk war the academy city on the water
"Re: Life in a different world from zero 2nd Season, ReZero 2nd Season, Re:Zero - Starting Life in Another World 2","['drama', 'fantasy', 'psychological', 'thriller', 'xuyên không - chuyển kiếp']",re: life in a different world from zero rezero re:zero-starting life in another world
Code Geass: Lelouch Of The Rebellion,"['hành động', 'mecha', 'học đường', 'viễn tưởng', 'super power', 'military']",code geass lelouch of the rebellion
Shokugeki no Souma 3rd Season ,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no souma
More Trouble ,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']",more trouble
Ao No Exorcist,"['hành động', 'shounen', 'fantasy', 'siêu nhiên', 'demons']",ao no exorcist
Masamune-kun's Revenge,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']",masamune-kun's revenge
Sword Art Online: Extra Edition,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online extra edition
Sora No Otoshimono SS1 ,"['hài hước', 'ecchi', 'shounen', 'harem', 'romance', 'viễn tưởng', 'siêu nhiên']",sora no otoshimono
Gintama' (2015) ,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']",gintama'
Dũng Sỹ Diệt Yêu Tinh,"['hành động', 'fantasy']",dũng sỹ diệt yêu tinh
Kuroshitsuji ,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'fantasy', 'đang cập nhật', 'siêu nhiên', 'demons']",kuroshitsuji
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, JoJo's Bizarre Adventure ","['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']",jojo no kimyou na bouken: diamond wa kudakenai jojo's bizarre adventure
The Irregular at Magic High School: Visitor Arc,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']",the irregular at magic high school visitor arc
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['hành động', 'hài hước', 'phiêu lưu', 'viễn tưởng', 'fantasy']",itai no wa iya nano de bougyoryoku ni kyokufuri shitai to omoimasu
Rescue Me! Ova,"['ecchi', 'harem', 'romance']",rescue me
Healer báo thù ,"['ecchi', 'fantasy', 'super power', 'psychological', 'tragedy']",healer báo thù
High School Dxd Episodes 13 And 14 ,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd episodes 13 and
"Yuuna of Yuragi Manor, Yuuna and the Haunted Hot Springs","['hài hước', 'ecchi', 'shounen', 'harem', 'romance', 'siêu nhiên']",yuuna of yuragi manor yuuna and the haunted hot springs
Fullmetal Alchemist: Brotherhood [BD],"['hành động', 'phiêu lưu', 'phép thuật', 'drama', 'shounen', 'blu-ray', 'fantasy']",fullmetal alchemist brotherhood
Hybrid x Heart Magias Academy Ataraxia ,"['ecchi', 'harem', 'blu-ray']",hybrid x heart magias academy ataraxia
Cross Ange: Rondo of Angel and Dragon,"['hành động', 'hài hước', 'mecha', 'viễn tưởng']",cross ange rondo of angel and dragon
Fate/Apocrypha,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']",fate apocrypha
Blood Blockade Battlefront ,"['hành động', 'hài hước', 'shounen', 'fantasy', 'super power', 'siêu nhiên', 'vampire']",blood blockade battlefront
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no souma san no sara-toutsuki ressha-hen
Kyoukai no Kanata [Bluray] ,"['đời thường', 'fantasy', 'siêu nhiên']",kyoukai no kanata
One Punch Man OVA + SP,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']",one punch man ova sp
Tokyo Ravens Blu-ray,"['hài hước', 'phép thuật', 'học đường', 'romance', 'siêu nhiên']",tokyo ravens
Baki (ONA),"['hành động', 'shounen', 'martial arts']",baki (ona)
Ahiru no Sora,"['drama', 'thể thao', 'học đường', 'shounen']",ahiru no sora
Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']",shinmai maou no testament burst toujou basara no shigoku heiwa na nichijou
CHOYOYU!: High School Prodigies Have It Easy Even in Another World!,"['fantasy', 'xuyên không - chuyển kiếp']",choyoyu high school prodigies have it easy even in another world
Domestic Girlfriend,"['drama', 'học đường', 'shounen', 'romance']",domestic girlfriend
Sword Art Online Alternative: Gun Gale Online,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online alternative gun gale online
This Hero is Invincible but ,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'fantasy']",this hero is invincible but
"Tôi là nhện đấy, có sao không?","['hài hước', 'phiêu lưu', 'fantasy', 'xuyên không - chuyển kiếp']",tôi là nhện đấy có sao không?
Darling in the FranXX,"['hành động', 'mecha', 'drama', 'romance', 'viễn tưởng']",darling in the franxx
Assassins Pride,"['hành động', 'phép thuật', 'shounen', 'romance', 'fantasy']",assassins pride
ONE PIECE STAMPEDE ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece stampede
Welcome to Demon School! Iruma-kun ,"['hài hước', 'fantasy', 'xuyên không - chuyển kiếp', 'mythology', 'học đường']",welcome to demon school iruma-kun
"Marchen Awakens Romance, Märchen Awakens Romance, Mar-heaven, MÄr Heaven","['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy']",marchen awakens romance märchen awakens romance mar-heaven mär heaven
Cuộc Sống Thường Ngày Của Tiên Vương,"['hành động', 'hài hước', 'phép thuật', 'học đường', 'super power', 'siêu nhiên']",cuộc sống thường ngày của tiên vương
High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd born ishibumi ichiei kanzen kanshuu mousou bakuyou kaijo original video
Baka And Test - Summon The Beasts,"['hài hước', 'học đường', 'romance', 'super power']",baka and test-summon the beasts
Scum's Wish,"['ecchi', 'drama', 'học đường', 'romance', 'seinen']",scum's wish
Maji De Watashi Ni Koi Shinasai!! Uncensor [bd],"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'super power', 'martial arts']",maji de watashi ni koi shinasai
Dragonar Academy,"['hài hước', 'ecchi', 'học đường', 'fantasy']",dragonar academy
Haikyuu!! 2nd Season ,"['hài hước', 'drama', 'thể thao', 'học đường', 'shounen']",haikyuu
Kore wa Zombie Desu ka? ,"['hành động', 'super power', 'siêu nhiên']",kore wa zombie desu ka
Seirei Gensouki - Spirit Chronicles,"['hành động', 'trinh thám', 'drama', 'harem', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']",seirei gensouki-spirit chronicles
The Promised Neverland ,"['kinh dị', 'shounen', 'viễn tưởng', 'mystery', 'psychological', 'thriller']",the promised neverland
King of Games,"['hành động', 'shounen', 'fantasy', 'game']",king of games
Kamen Rider Zi-O,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']",kamen rider zi-o
Aldnoah.Zero 2nd Season,"['hành động', 'mecha', 'viễn tưởng', 'military']",aldnoah zero
Học Viện Anh Hùng Phần 4,"['hành động', 'học đường', 'super power']",học viện anh hùng
Eromanga sensei ,"['hài hước', 'ecchi', 'drama', 'romance']",eromanga sensei
Oresuki,"['hài hước', 'học đường', 'romance']",oresuki
Yu-gi-oh! Duel Monsters Gx,"['hành động', 'shounen', 'fantasy', 'game']",yu-gi-oh duel monsters gx
25-sai no Joshikousei,"['ecchi', 'học đường', 'romance']",25-sai no joshikousei
Mushoku Tensei: Isekai Ittara Honki Dasu,"['ecchi', 'drama', 'fantasy']",mushoku tensei isekai ittara honki dasu
Bungo Stray Dogs,"['hành động', 'seinen', 'super power', 'siêu nhiên', 'mystery']",bungo stray dogs
Dragon Ball GT ,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragon ball gt
Chuunibyou Demo Koi Ga Shitai! Ren Blu-ray,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",chuunibyou demo koi ga shitai ren
Akame ga Kiru! [Blu-ray],"['hành động', 'phiêu lưu', 'drama', 'shounen', 'fantasy']",akame ga kiru
Kimetsu no Yaiba: Yuukaku-hen,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']",kimetsu no yaiba yuukaku-hen
Boku Wa Tomodachi Ga Sukunai Next ,"['hài hước', 'ecchi', 'học đường', 'harem', 'đời thường', 'romance']",boku wa tomodachi ga sukunai next
Tiến sĩ đá,"['phiêu lưu', 'shounen', 'viễn tưởng']",tiến sĩ đá
"Dakaretai Otoko Ichii ni Odosarete Imasu., Dakaretai Otoko No.1 ni Odosareteimasu.","['drama', 'shounen', 'romance', 'shounen ai']",dakaretai otoko ichii ni odosarete imasu. dakaretai otoko no.1 ni odosareteimasu.
Nanatsu no Taizai: Kamigami no Gekirin ,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']",nanatsu no taizai kamigami no gekirin
Tensei shitara Slime Datta Ken Blu-ray ,"['shounen', 'fantasy']",tensei shitara slime datta ken
Anime Music Video,['âm nhạc'],anime music video
The Testament of Sister New Devil OVA ,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']",the testament of sister new devil
Sword Art Online - Abridged Parody,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online-abridged parody
Manyuu Hiken-chou Uncensor [bd] ,"['hành động', 'hài hước', 'ecchi', 'seinen', 'samurai']",manyuu hiken-chou
The Testament of Sister New Devil Departures,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']",the testament of sister new devil departures
Ore no Imouto ga Konnani Kawaii Wake ga Nai SS2 Specials ,"['hài hước', 'đời thường']",ore no imouto ga konnani kawaii wake ga nai specials
K ,"['hành động', 'super power', 'siêu nhiên']",k
Hundred,"['hành động', 'ecchi', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']",hundred
Your Name.,"['drama', 'học đường', 'romance', 'siêu nhiên']",your name
D.Gray-man ,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'super power', 'demons']",d gray-man
I Want You To Make a Disgusted Face and Show Me Your Underwear,['ecchi'],i want you to make a disgusted face and show me your underwear
Freezing [Blu-ray],"['hành động', 'ecchi', 'drama', 'harem', 'romance', 'viễn tưởng', 'seinen', 'martial arts']",freezing
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo? [Blu-ray],"['hành động', 'hài hước', 'fantasy', 'siêu nhiên', 'xuyên không - chuyển kiếp']",mondaiji-tachi ga isekai kara kuru sou desu yo
We Never Learn,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']",we never learn
Kiss X Sis ODA,"['hành động', 'super power', 'siêu nhiên']",kiss x sis oda
銃皇無尽のファフニール,"['học đường', 'harem', 'romance', 'fantasy']",銃皇無尽のファフニール
The Master of Ragnarok & Blesser of Einherjar,"['harem', 'fantasy']",the master of ragnarok blesser of einherjar
Toàn Chức Pháp Sư ,"['phép thuật', 'học đường', 'hoạt hình trung quốc']",toàn chức pháp sư
Isekai Cheat Magician,"['hành động', 'phiêu lưu', 'fantasy', 'xuyên không - chuyển kiếp']",isekai cheat magician
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. 3rd Season, My Teen Romantic Comedy SNAFU 3, Oregairu 3, My youth romantic comedy is wrong as I expected 3","['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",yahari ore no seishun love comedy wa machigatteiru. my teen romantic comedy snafu oregairu my youth romantic comedy is wrong as i expected
Another [Blu-ray],"['kinh dị', 'học đường', 'siêu nhiên', 'mystery', 'thriller']",another
Dragonball,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragonball
Danshi Koukousei No Nichijou ,"['hài hước', 'học đường', 'shounen', 'đời thường']",danshi koukousei no nichijou
Hyakka Ryouran: Samurai Girls,"['hành động', 'hài hước', 'ecchi', 'học đường', 'harem', 'samurai']",hyakka ryouran samurai girls
Kabaneri of the Iron Fortress,"['hành động', 'kinh dị', 'drama', 'fantasy', 'siêu nhiên']",kabaneri of the iron fortress
Shokugeki no Soma 4th Season ,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no soma
Witchcraft Works,"['hành động', 'phép thuật', 'fantasy', 'seinen', 'siêu nhiên']",witchcraft works
Accel World ,"['hành động', 'học đường', 'romance', 'viễn tưởng', 'game']",accel world
Knight's & Magic,"['hành động', 'mecha', 'học đường', 'fantasy']",knight's magic
"Rent-a-Girlfriend, Kanokari","['hài hước', 'học đường', 'shounen', 'romance']",rent-a-girlfriend kanokari
Gekkan Shoujo Nozaki-kun [Blu-ray],"['hài hước', 'học đường', 'shounen', 'romance', 'blu-ray']",gekkan shoujo nozaki-kun
NAKAIMO - My Little Sister Is Among Them! [Blu-ray],"['hành động', 'super power', 'siêu nhiên']",nakaimo-my little sister is among them
To LOVE-Ru Trouble Darkness 2nd [Blu-ray],"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']",to love-ru trouble darkne
The King's Avatar (2018) ,"['hành động', 'game', 'hoạt hình trung quốc']",the king's avatar
Armed Girl's Machiavellism,"['hành động', 'hài hước', 'học đường', 'shounen']",armed girl's machiavellism
Owari no Seraph: Nagoya Kessen-hen ,"['drama', 'shounen', 'siêu nhiên', 'vampire']",owari no seraph nagoya kessen-hen
"Haikyuu!! (2020), Haikyuu!! Fourth Season, Haikyuu!! 4th Season","['hài hước', 'drama', 'thể thao', 'học đường', 'shounen']",haikyuu!! haikyuu!! fourth season
Oku-sama ga Seito Kaichou! ,"['hài hước', 'ecchi', 'học đường', 'shounen', 'romance']",oku-sama ga seito kaichou
Interspecies Reviewers,"['hài hước', 'ecchi', 'fantasy']",interspecies reviewers
Đấu Phá Thương Khung,"['hành động', 'super power', 'siêu nhiên', 'hoạt hình trung quốc']",đấu phá thương khung
Jigoku Sensei Nube Live Action,"['hài hước', 'phiêu lưu', 'kinh dị', 'học đường', 'shounen', 'romance', 'siêu nhiên']",jigoku sensei nube
Tate no Yuusha no Nariagari Blu-Ray ,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'romance', 'fantasy', 'seinen']",tate no yuusha no nariagari
Blue Spring Ride ,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance', 'shoujo']",blue spring ride
IS: Infinite Stratos 2 BD,"['hành động', 'hài hước', 'ecchi', 'mecha', 'harem', 'viễn tưởng']",is infinite stratos
Miss Kobayashi's Dragon Maid,"['hài hước', 'đời thường', 'fantasy']",miss kobayashi's dragon maid
Horimiya,"['hài hước', 'học đường', 'shounen', 'đời thường', 'romance']",horimiya
Strike the Blood Third,"['hành động', 'ecchi', 'học đường', 'harem', 'fantasy', 'siêu nhiên', 'vampire']",strike the blood third
Hunter X Hunter 1999,"['hành động', 'phiêu lưu', 'shounen', 'fantasy', 'super power']",hunter x hunter 
Blood Lad,"['hành động', 'hài hước', 'seinen', 'siêu nhiên', 'vampire', 'demons']",blood lad
Kaguya-sama: Love is War Season 2 ,"['hài hước', 'học đường', 'romance', 'seinen', 'psychological']",kaguya-sama love is war
Saiki Kusuo no Psi Nan,"['hài hước', 'học đường', 'shounen', 'đời thường', 'siêu nhiên']",saiki kusuo no psi nan
Pokemon Movie 01 - 23,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']",pokemon
Peter Grill and the Philosopher's Time,"['hài hước', 'fantasy', 'ecchi', 'harem']",peter grill and the philosopher's time
Hajimete no Gal,"['hài hước', 'ecchi', 'học đường', 'shounen', 'romance']",hajimete no gal
Danganronpa Kibou No Gakuen To Zetsubou No Koukosei - The Animation,"['học đường', 'mystery', 'psychological']",danganronpa kibou no gakuen to zetsubou no koukosei-the animation
Nisekoi 2nd Season ,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']",nisekoi
Super Dragon Ball Heroes: Universe Mission,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",super dragon ball heroes universe mission
Kyokou Suiri,"['hài hước', 'shounen', 'romance', 'siêu nhiên', 'mystery', 'demons']",kyokou suiri
Ao-chan Can't Study!,"['hài hước', 'ecchi', 'shounen', 'romance']",ao-chan can't study
Maken-ki! Two ,"['hành động', 'ecchi', 'học đường', 'harem', 'super power', 'martial arts']",maken-ki two
Kishuku Gakkou no Juliet,"['hành động', 'hài hước', 'học đường', 'shounen', 'romance']",kishuku gakkou no juliet
Gate: Thus the JSDF Fought There! Fire Dragon Arc ,"['hành động', 'phiêu lưu', 'fantasy', 'military']",gate thus the jsdf fought there fire dragon arc
Sekirei BD,"['hành động', 'super power', 'siêu nhiên']",sekirei
Shana of the Burning Eyes,"['hành động', 'drama', 'học đường', 'romance', 'fantasy', 'siêu nhiên']",shana of the burning eyes
Hataraku Maou-sama! BD ,"['hài hước', 'romance', 'fantasy', 'siêu nhiên', 'demons', 'xuyên không - chuyển kiếp']",hataraku maou-sama
Noragami Aragoto,"['hành động', 'phiêu lưu', 'shounen', 'blu-ray', 'siêu nhiên']",noragami aragoto
Dragonball Kai 2014 ,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragonball kai 
YU-NO: A girl who chants love at the bound of this world.,"['drama', 'viễn tưởng']",yu-no a girl who chants love at the bound of this world
Diabolik Lovers,"['học đường', 'harem', 'shoujo', 'vampire']",diabolik lovers
Steins;Gate,"['viễn tưởng', 'thriller']",steins gate
Kakegurui,"['drama', 'học đường', 'shounen', 'game', 'mystery', 'psychological']",kakegurui
Fly Me to The Moon ,"['hài hước', 'drama', 'shounen', 'romance']",fly me to the moon
Tokyo Ghoul:re,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']",tokyo ghoul re
Demon Slayer: Kimetsu no Yaiba Blu-ray ,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']",demon slayer kimetsu no yaiba
Radiant,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy']",radiant
Plamemo,"['drama', 'romance', 'viễn tưởng']",plamemo
Valkyrie Romanze [Blu-ray],"['hành động', 'super power', 'siêu nhiên']",valkyrie romanze
Ore ga Ojousama Gakkou ni Shomin Sample Toshite Gets Sareta Ken,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance']",ore ga ojousama gakkou ni shomin sample toshite gets sareta ken
The Eden of Grisaia ,"['drama', 'harem', 'romance', 'psychological']",the eden of grisaia
Attack on Titan: Crimson Bow and Arrow,"['hành động', 'drama', 'shounen', 'fantasy', 'super power', 'mystery', 'military']",attack on titan crimson bow and arrow
Mob Psycho 100,"['hành động', 'hài hước', 'đời thường', 'siêu nhiên']",mob psycho 100
Aldnoah.Zero,"['hành động', 'mecha', 'viễn tưởng', 'military']",aldnoah zero
Cấm Thư Ma Thuật: Index III ,"['hành động', 'phép thuật', 'viễn tưởng', 'super power']",cấm thư ma thuật index iii
Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,"['ecchi', 'drama', 'fantasy']",mushoku tensei isekai ittara honki dasu
Boku no Hero Academia The Movie: Futari no Hero,"['hành động', 'học đường', 'super power']",boku no hero academiafutari no hero
"So, I Can't Play H! [Blu-ray]","['hành động', 'super power', 'siêu nhiên']",so i can't play h!
Zero No Tsukaima: Futatsuki No Kishi ,"['ecchi', 'phiêu lưu', 'phép thuật', 'romance', 'fantasy']",zero no tsukaima futatsuki no kishi
Yu-Gi-Oh! 5D's ,"['hành động', 'shounen', 'fantasy', 'game']",yu-gi-oh 5d's
Shingeki no Kyojin: The Final Season,"['hành động', 'drama', 'shounen', 'fantasy', 'super power', 'mystery', 'military']",shingeki no kyojin
"Do You Like Your Mom? Her Normal Attack is Two Attacks at Full Power, Okaasan online","['hài hước', 'phiêu lưu', 'fantasy']",do you like your mom? her normal attack is two attacks at full power okaasan online
Violet Evergarden,"['drama', 'đời thường', 'fantasy']",violet evergarden
Bách Quỷ Dạ Hành SS1,"['hành động', 'shounen', 'siêu nhiên', 'demons']",bách quỷ dạ hành
"Heidi, cô bé đến từ vùng núi Alps","['drama', 'đời thường', 'lịch sử']",heidi cô bé đến từ vùng núi alps
Skirt no Naka wa Kedamono Deshita.,"['ecchi', 'drama', 'romance']",skirt no naka wa kedamono deshita
Souryo to Majiwaru Shikiyoku no Yoru ni...,"['ecchi', 'drama', 'romance']",souryo to majiwaru shikiyoku no yoru ni
Death Note - Quyển Sổ Sinh Mệnh Blu-ray,"['shounen', 'siêu nhiên', 'mystery', 'psychological', 'police', 'thriller']",death note-quyển sổ sinh mệnh
Taneyamagahara no Yoru ,"['đời thường', 'fantasy', 'psychological', 'kid']",taneyamagahara no yoru
Kill La Kill,"['hành động', 'hài hước', 'ecchi', 'học đường', 'super power']",kill la kill
Re:Creators,"['hành động', 'blu-ray', 'viễn tưởng', 'fantasy']",re creators
Hãy Tô Màu Thế Giới Ngày Mai,"['phép thuật', 'drama', 'romance']",hãy tô màu thế giới ngày mai
Zero no Tsukaima Final Series ,"['ecchi', 'phiêu lưu', 'phép thuật', 'romance', 'fantasy']",zero no tsukaima
"Hachinan tte, Sore wa Nai deshou!, The 8th son? Are you kidding me?","['hành động', 'fantasy']",hachinan tte sore wa nai deshou! the 8th son? are you kidding me?
Tennis no Ouji-sama ,"['hành động', 'hài hước', 'thể thao', 'học đường', 'shounen']",tennis no ouji-sama
Densetsu No Yuusha No Densetsu ,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']",densetsu no yuusha no densetsu
Special training in the Secret Dungeon ,"['hành động', 'ecchi', 'phiêu lưu', 'harem', 'fantasy']",special training in the secret dungeon
Shinseiki Evangelion,"['hành động', 'mecha', 'drama', 'romance', 'viễn tưởng', 'psychological', 'dementia']",shinseiki evangelion
Prison School Live Action ,"['hài hước', 'ecchi', 'học đường', 'romance', 'seinen']",prison school
Kuzu no Honkai Live-action,"['ecchi', 'drama', 'học đường', 'romance', 'seinen']",kuzu no honkai live-action
Enen no Shouboutai 2nd Season ,"['hành động', 'shounen', 'viễn tưởng']",enen no shouboutai
